price,cpu,ram,ssd,graphic_ram,screen_size,stock_status,hdd,company,links
105000000,M2,24.0,1000,0,13.6,new,0,apple,https://torob.com/p/eaeee943-b4e4-4578-bd11-407b7055f4a2/%D9%85%DA%A9-%D8%A8%D9%88%DA%A9-%D8%A7%DB%8C%D8%B1-m2-%D8%B8%D8%B1%D9%81%DB%8C%D8%AA-24-1tb-%DA%AF%DB%8C%DA%AF-8c-10c-2022-cto/
97900000,M1,16.0,512,0,16.0,new,0,apple,https://torob.com/p/b9255159-2cdd-45d0-b9b3-fc0523f21fcc/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D8%A7%D9%BE%D9%84-mk1e3-16gb-ram-512gb-ssd-m1-pro/
70200000,Core i7,0.0,512,4000,16.0,stock,0,apple,https://torob.com/p/f5dd415d-b32b-4925-95a5-98d304b2332b/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-16-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D8%A7%D9%BE%D9%84-%D9%85%D8%AF%D9%84-macbook-pro-a2141/
56112000,M1,8.0,512,0,13.0,new,0,apple,https://torob.com/p/1e155a06-5e4c-4edf-a9e1-2789ca9ec616/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D8%A7%D9%BE%D9%84-8gb-ram-512gb-ssd-m1-mgn73/
10000000,Core i7,32.0,512,4000,16.0,new,0,apple,https://torob.com/p/a57b52a0-aa35-4ad3-9c5d-bdd18cb164f6/%D9%85%DA%A9-%D8%A8%D9%88%DA%A9-%D9%BE%D8%B1%D9%88-16-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-2019-%D8%A8%D8%A7-%D8%AA%D8%A7%DA%86-%D8%A8%D8%A7%D8%B1-%D9%85%D8%AF%D9%84-a2141/
168900000,M2,32.0,1000,0,16.0,new,0,apple,https://torob.com/p/30676b9e-9d48-4140-8adb-200811d19bcf/%D9%85%DA%A9-%D8%A8%D9%88%DA%A9-%D9%BE%D8%B1%D9%88-16-%D8%A7%DB%8C%D9%86%DA%86-m2-max-%D9%BE%D8%B1%D8%AF%D8%A7%D8%B2%D9%86%D8%AF%D9%87-12core-38core-%D8%AD%D8%A7%D9%81%D8%B8%D9%87-%D8%B1%D9%85-32-%DA%AF%DB%8C%DA%AF%D8%A7%D8%A8%D8%A7%DB%8C%D8%AA-%D9%87%D8%A7%D8%B1%D8%AF-1-%D8%AA%D8%B1%D8%A7%D8%A8%D8%A7%DB%8C%D8%AA-ssd-%D9%86%D9%82%D8%B1%D9%87-%D8%A7%DB%8C-mnwe3/
114600000,M2,16.0,512,0,16.0,new,0,apple,https://torob.com/p/17d9b46b-d41b-444f-bb1e-5b6344d4280b/%D9%85%DA%A9-%D8%A8%D9%88%DA%A9-%D9%BE%D8%B1%D9%88-16-%D8%A7%DB%8C%D9%86%DA%86-m2-pro-%D9%85%D8%AF%D9%84-mnwc3-%D8%B3%D8%A7%D9%84-2023-m2-pro-16gb-512gb-%D8%B1%D9%86%DA%AF-silver/
24500000,Core i5,8.0,256,0,13.0,stock,0,apple,https://torob.com/p/5b24dc92-e170-4bbc-b9bb-43bf1410e769/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BEapple-macbook-air-a1466-2017-%D8%A7%D8%B3%D8%AA%D9%88%DA%A9/
89000000,M2,16.0,512,0,13.0,new,0,apple,https://torob.com/p/e31313b6-b355-4764-b67b-e05ce8a5c990/%D9%85%DA%A9-%D8%A8%D9%88%DA%A9-%D8%A7%DB%8C%D8%B1-%DA%A9%D8%A7%D8%B3%D8%AA%D9%88%D9%85-m2-16-512-%D8%B3%D8%A7%D9%84-2022-midnight/
83000000,M2,16.0,256,100000,13.0,new,0,apple,https://torob.com/p/52d8a2bc-b169-4352-8eaf-9fcb9eac4798/%D9%85%DA%A9-%D8%A8%D9%88%DA%A9-%D9%BE%D8%B1%D9%88-13-%D8%A7%DB%8C%D9%86%DA%86-m2-%D8%B8%D8%B1%D9%81%DB%8C%D8%AA-16-256-%DA%AF%DB%8C%DA%AF-2022-cto/
