price,cpu,hdd,ram,graphic_ram,screen_size,stock_status,ssd,company,links
20870000,Core i5,0,8000,2000,15.6,new,256,lenovo,https://torob.com/p/d15f5342-50cd-4058-9b0d-77234780ff3c/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D9%84%D9%86%D9%88%D9%88-v15-8gb-ram-256gb-ssd-i5-1135g7-vga-mx350-2gb/
25000000,Core i5,0,0,0,15.0,stock,0,lenovo,https://torob.com/p/a93b5a99-8daa-48ff-81e1-32e8ec23e690/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D9%84%D9%86%D9%88%D9%88-15-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D9%85%D8%AF%D9%84-lenovo-thinkbook-g2-i5-1135g7/
14490000,Core i3,256,8000,2000,15.6,new,256,lenovo,https://torob.com/p/322c7acf-75fb-4cde-9e87-cae49a215304/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D9%84%D9%86%D9%88%D9%88-156-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D9%85%D8%AF%D9%84-ideapad-v15-g2itl-i3-8gb-256gb-ssd/
68950000,Core i7,0,16000,6000,16.0,new,1000,lenovo,https://torob.com/p/fc28d43a-c052-4638-9be1-e183d4807d47/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D9%84%D9%86%D9%88%D9%88-legion-5-pro-16gb-ram-1tb-ssd-i7-6gb-vga/
55688820,Ryzen 7,0,16000,6000,15.6,new,512,lenovo,https://torob.com/p/4b242f67-dad4-4199-ac91-7a4dd0af877a/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D9%84%D9%86%D9%88%D9%88-legion-5-16gb-ram-512gb-ssd-ryzen-7-6gb-vga/
160000000,Core i9,0,32000,16000,16.0,new,1000,lenovo,https://torob.com/p/028e0cfb-1e97-46e9-9c22-9156763b69f6/lenovo-legion-7-core-i9-11980hk-32gb-1tbssd-16gb-rtx3080/
15940000,Core i3,1000,12000,2000,15.6,new,256,lenovo,https://torob.com/p/7baad855-4cec-4690-8cb6-3aece1210d35/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D9%84%D9%86%D9%88%D9%88-v15-12gb-ram-1tb-hdd-256gb-ssd-i3/
28400000,Core i7,0,16000,0,15.6,new,256,lenovo,https://torob.com/p/d536a6c5-1123-44b6-8ce7-b84b8f610c62/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-156-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D9%84%D9%86%D9%88%D9%88-%D9%85%D8%AF%D9%84-ideapad-3-aa-i7-1165g7-16gb-1tbhdd%2B256ssd-2g-mx450/
17540000,Ryzen 3,0,8000,2000,15.6,new,256,lenovo,https://torob.com/p/eb871548-5f48-4d11-8aca-55ebf4887a96/lenovo-v15-ryzen-3-7320u-8-256ssd-radeon-fhd/
27990000,Ryzen 5,0,0,0,15.0,new,0,lenovo,https://torob.com/p/72877667-4d24-4b50-8a00-0455f1716147/%D9%84%D9%BE-%D8%AA%D8%A7%D8%A8-%D9%84%D9%86%D9%88%D9%88-%D9%85%D8%AF%D9%84-lenovo-v15-ryzen-5-5500u/
32690000,Core i5,1000,8000,2000,15.6,new,256,lenovo,https://torob.com/p/874d7d6e-f002-4e36-8123-863c71f46bbd/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D9%84%D9%86%D9%88%D9%88-thinkbook-15-g2-8gb-ram-1tb-hdd-256gb-ssd-i5-2gb-vga/
27290000,Core i7,1000,8000,2000,15.6,new,256,lenovo,https://torob.com/p/d2b79c25-7661-4e7d-b83e-09104d2a2655/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D9%84%D9%86%D9%88%D9%88-ideapad-3-8gb-ram-1tb-hdd-256ggb-ssd-i7-2gb-vga/
37500000,Ryzen 5,0,8000,6000,15.6,new,256,lenovo,https://torob.com/p/b00652ff-5963-4af0-9b3b-51c9dc573e59/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D9%84%D9%86%D9%88%D9%88-legion-5-8gb-ram-256gb-ssd-ryzen-5-6gb-vga/
153600000,Core i9,0,32000,12000,16.1,new,1000,lenovo,https://torob.com/p/91575d0c-2c71-4051-8685-11bb73cf651d/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%DA%AF%DB%8C%D9%85%DB%8C%D9%86%DA%AF-%D9%84%D9%86%D9%88%D9%88-%D9%85%D8%AF%D9%84-lenovo-legion-pro-5-2023-i9-13900hx-rtx4080-32gb-1tb/
12500000,Core i5,256,8000,0,14.0,new,256,lenovo,https://torob.com/p/01d7324e-ea00-4386-9681-acd032034ed3/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D8%AF%D8%B3%D8%AA-%D8%AF%D9%88%D9%85-%D9%84%D9%86%D9%88%D9%88-thinkpad-x1-yoga-b-s/
8400000,Celeron,1000,4000,0,15.6,new,0,lenovo,https://torob.com/p/247f40a5-a9c4-4df2-a296-68fc866347ca/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D9%84%D9%86%D9%88%D9%88-ideapad-l3-4gb-ram-1tb-celeron/
24000000,Core i5,1000,16000,2000,15.6,new,256,lenovo,https://torob.com/p/8eaa80ff-758d-46a9-9f9c-321ae94a3f28/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D9%84%D9%86%D9%88%D9%88-ideapad-3-2021-ad/
44400000,Ryzen 7,0,0,0,15.6,stock,0,lenovo,https://torob.com/p/c0219a53-83b3-479e-9586-44bd6fdd34cc/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D9%84%D9%86%D9%88%D9%88-%DA%AF%DB%8C%D9%85%DB%8C%D9%86%DA%AF-156-%D8%A7%DB%8C%D9%86%DA%86-legion-5-15-ryzen-7-5800h-full-hd-%D8%A7%D8%B3%D8%AA%D9%88%DA%A9/
13400000,Core i5,256,8000,1000,12.5,stock,256,lenovo,https://torob.com/p/098d94ea-4572-4971-abbb-1f62d49129fb/%D9%84%D9%86%D9%88%D9%88-thinkpad-x1-tablet/
17150000,Core i3,1000,20000,2000,15.6,new,512,lenovo,https://torob.com/p/7b4975a9-4147-43e7-a4fa-cded37efb46b/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D9%84%D9%86%D9%88%D9%88-156-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D9%85%D8%AF%D9%84-ideapad-3-15iau7-core-i3-20gb-1tb-hdd-512gb-ssd/
43355000,Ryzen 5,0,32000,4000,15.6,new,1000,lenovo,https://torob.com/p/5e495ba1-582f-4156-af7e-b7956301f8db/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D9%84%D9%86%D9%88%D9%88-legion-5-pad/
47990000,Core i7,1000,16000,2000,15.6,new,1000,lenovo,https://torob.com/p/c7be2acf-9e96-4ca6-a5c8-a176b11d8ebb/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D9%84%D9%86%D9%88%D9%88-thinkpad-e15-gb/
13490000,Pentium,1000,4000,0,15.6,new,0,lenovo,https://torob.com/p/7be2a000-080a-4d47-938a-c52d98dda679/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D9%84%D9%86%D9%88%D9%88-ideapad-3-4gb-ram-1tb-ssd-n5030/
86000000,Core i3,0,0,0,15.6,new,0,lenovo,https://torob.com/p/46eef351-01d0-4330-86d9-d28e3e11335f/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-156-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D9%84%D9%86%D9%88%D9%88-%D9%85%D8%AF%D9%84-ideapad-3-15igl05-c-4020-4gb-1hdd/
22849000,Core i3,1000,12000,2000,15.6,new,256,lenovo,https://torob.com/p/8dd1fc7e-3b48-40b7-8bb5-2da0ca60245f/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D9%84%D9%86%D9%88%D9%88-thinkbook-15-12gb-ram-1tb-hdd-256gb-ssd-2gb-vga-i3/
14500000,Celeron,1000,8000,2000,15.6,new,256,lenovo,https://torob.com/p/4911e494-b320-4e89-8c94-6593ceefe1cd/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D9%84%D9%86%D9%88%D9%88-156-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D9%85%D8%AF%D9%84-ideapad-l3-%D9%BE%D8%B1%D8%AF%D8%A7%D8%B2%D9%86%D8%AF%D9%87-celeron-6305-%D8%B1%D9%85-8gb-%D8%AD%D8%A7%D9%81%D8%B8%D9%87-1tb-%DA%AF%D8%B1%D8%A7%D9%81%DB%8C%DA%A9-intel-%D8%A8%D8%A7-%D8%AF%DB%8C-%D9%88%DB%8C-%D8%AF%DB%8C/
9200000,Celeron,8,4000,0,15.6,new,128,lenovo,https://torob.com/p/5c85956f-b949-4ea4-ae6e-367faa5003b4/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D9%84%D9%86%D9%88%D9%88-%D9%85%D8%AF%D9%84-lenovo-ideapad-3-q/
